ts_iso,symbol,last,high,low,volume,bid,ask,delta5s,trades5s,spread_avg,spread_max,vwap_session,vwap_rolling,vwap_active,cumulative_delta,vwap_s_std,vwap_s_up1,vwap_s_dn1,vwap_s_up2,vwap_s_dn2,vwap_r_std,vwap_r_up1,vwap_r_dn1,vwap_r_up2,vwap_r_dn2,spread_now,mid,pos_in_spread,range_1m,range_5m,pos_in_session
2025-08-27T21:25:45.0000000,ES SEP25,6486.5,6486.75,6486.5,6,6486.5,6486.5,11,11,0,0,6484.73854129552,6487.16719126086,6484.73854129552,140315,2.55971538331981,6487.29825667884,6482.1788259122,6489.85797206216,6479.61911052888,0.738500224543778,6487.9056914854,6486.42869103631,6488.64419170995,6485.69019081177,0,6486.5,0.5,1,1.5,0.755555555555556
2025-08-27T21:25:50.0000000,ES SEP25,6486.75,6486.75,6486.5,3,6486.75,6486.75,6,6,0,0,6484.73862373162,6487.16700610996,6484.73862373162,140321,2.55969171043313,6487.29831544205,6482.17893202118,6489.85800715248,6479.61924031075,0.73858389630573,6487.90559000627,6486.42842221365,6488.64417390257,6485.68983831735,0,6486.75,0.5,0.75,1.5,0.777777777777778
2025-08-27T21:25:55.0000000,ES SEP25,6486.75,6486.75,6486.5,2,6486.75,6486.75,11,10,0,0,6484.7386786851,6487.16682147499,6484.7386786851,140332,2.55967592693167,6487.29835461203,6482.17900275817,6489.85803053896,6479.61932683124,0.739880560308651,6487.9067020353,6486.42694091469,6488.64658259561,6485.68706035438,0,6486.75,0.5,0.75,1.5,0.777777777777778
2025-08-27T21:26:00.0000000,ES SEP25,6486.5,6486.5,6486.5,12,6486.5,6486.5,17,16,0,0,6484.73897984289,6487.16539959204,6484.73897984289,140349,2.55956068914031,6487.29854053203,6482.17941915375,6489.85810122117,6479.61985846461,0.73985487638524,6487.90525446843,6486.42554471566,6488.64510934481,6485.68568983927,0,6486.5,0.5,0.75,1.5,0.755555555555556
2025-08-27T21:26:05.0000000,ES SEP25,6486.5,6486.5,6486.5,20,6486.5,6486.5,40,36,0,0,6484.73948154374,6487.16289279111,6484.73948154374,140389,2.55936862044651,6487.29885016418,6482.18011292329,6489.85821878463,6479.62074430285,0.739791677348392,6487.90268446846,6486.42310111376,6488.6424761458,6485.68330943641,0,6486.5,0.5,0.75,1.5,0.755555555555556
2025-08-27T21:26:10.0000000,ES SEP25,6486.5,6486.5,6486.25,5,6486.5,6486.5,10,10,0,0,6484.73960098946,6487.15983224602,6484.73960098946,140399,2.55931661892074,6487.29891760838,6482.18028437054,6489.8582342273,6479.62096775162,0.742826793799531,6487.90265903982,6486.41700545222,6488.64548583362,6485.67417865842,0,6486.5,0.5,1,1.75,0.755555555555556
2025-08-27T21:26:15.0000000,ES SEP25,6486,6486.25,6486,21,6486,6486,42,36,0,0,6484.7400028004,6487.15358345806,6484.7400028004,140441,2.55903940469184,6487.2990422051,6482.18096339571,6489.85808160979,6479.62192399102,0.746964775060829,6487.90054823312,6486.406618683,6488.64751300819,6485.65965390794,0,6486,0.5,1,2,0.711111111111111
2025-08-27T21:26:20.0000000,ES SEP25,6486.25,6486.25,6486,55,6486.25,6486.25,110,98,0,0,6484.74111923699,6487.14261120415,6484.74111923699,140551,2.55834898615117,6487.29946822314,6482.18277025084,6489.85781720929,6479.62442126469,0.751424251696925,6487.89403545585,6486.39118695245,6488.64545970754,6485.63976270076,0,6486.25,0.5,0.75,2,0.733333333333333
2025-08-27T21:26:25.0000000,ES SEP25,6486.25,6486.25,6486.25,7,6486.25,6486.25,20,16,0,0,6484.74126950254,6487.14142963374,6484.74126950254,140571,2.55826590235722,6487.2995354049,6482.18300360018,6489.85780130725,6479.62473769783,0.751692694611084,6487.89312232835,6486.38973693913,6488.64481502296,6485.63804424452,0,6486.25,0.5,0.75,2,0.733333333333333
2025-08-27T21:26:30.0000000,ES SEP25,6486.25,6486.25,6486.25,9,6486.25,6486.25,13,11,0,0,6484.74146265713,6487.13975646029,6484.74146265713,140584,2.55815908802135,6487.29962174515,6482.18330356911,6489.85778083317,6479.62514448109,0.752561605409398,6487.8923180657,6486.38719485488,6488.64487967111,6485.63463324947,0,6486.25,0.5,0.75,2,0.733333333333333
2025-08-27T21:26:35.0000000,ES SEP25,6486.25,6486.25,6486.25,2,6486.25,6486.25,12,10,0,0,6484.74150557365,6487.1392246188,6484.74150557365,140596,2.55813535413271,6487.29964092779,6482.18337021952,6489.85777628192,6479.62523486539,0.752778860736454,6487.89200347953,6486.38644575806,6488.64478234027,6485.63366689733,0,6486.25,0.5,0.75,2,0.733333333333333
2025-08-27T21:26:40.0000000,ES SEP25,6486,6486.25,6486,11,6486,6486,19,17,0,0,6484.74171549665,6487.13700197969,6484.74171549665,140615,2.55799029127943,6487.29970578793,6482.18372520537,6489.85769607921,6479.62573491409,0.753572395009478,6487.8905743747,6486.38342958468,6488.64414676971,6485.62985718967,0,6486,0.5,0.75,2,0.711111111111111
2025-08-27T21:26:50.0000000,ES SEP25,6485.75,6486,6485.75,57,6485.75,6485.75,115,102,0,0,6484.74259972431,6487.12330822461,6484.74259972431,140730,2.55714266447191,6487.29974238878,6482.18545705984,6489.85688505326,6479.62831439537,0.761405900140592,6487.88471412475,6486.36190232447,6488.64612002489,6485.60049642433,0,6485.75,0.5,1,2.25,0.688888888888889
2025-08-27T21:26:55.0000000,ES SEP25,6486,6486,6486,9,6486,6486,32,29,0,0,6484.74276052176,6487.12080269606,6484.74276052176,140762,2.55701868483652,6487.29977920659,6482.18574183692,6489.85679789143,6479.62872315208,0.762856553113284,6487.88365924917,6486.35794614295,6488.64651580228,6485.59508958983,0,6486,0.5,1,2.25,0.711111111111111
2025-08-27T21:27:05.0000000,ES SEP25,6485.75,6485.75,6485.75,26,6485.75,6485.75,66,60,0,0,6484.74313249247,6487.11421164987,6484.74313249247,140828,2.55661973879146,6487.29975223127,6482.18651275368,6489.85637197006,6479.62989301489,0.766914663338386,6487.88112631321,6486.34729698654,6488.64804097655,6485.5803823232,0,6485.75,0.5,0.75,2.25,0.688888888888889
2025-08-27T21:27:10.0000000,ES SEP25,6486,6486,6486,58,6486,6486,81,69,0,0,6484.74416706878,6487.10171234947,6484.74416706878,140909,2.5558214820596,6487.29998855084,6482.18834558672,6489.8558100329,6479.63252410466,0.772102504283948,6487.87381485375,6486.32960984518,6488.64591735804,6485.5575073409,0,6486,0.5,0.75,2.25,0.711111111111111
2025-08-27T21:27:15.0000000,ES SEP25,6486,6486,6485.75,16,6486,6486,37,28,0,0,6484.74443325104,6487.09798949464,6484.74443325104,140946,2.55559240145241,6487.30002565249,6482.18884084959,6489.85561805395,6479.63324844814,0.773813642686931,6487.87180313732,6486.32417585195,6488.64561678001,6485.55036220926,0,6486,0.5,0.75,2.25,0.711111111111111
2025-08-27T21:27:20.0000000,ES SEP25,6486,6486,6486,26,6486,6486,47,40,0,0,6484.74489627066,6487.07487697002,6484.74489627066,140993,2.55523485771131,6487.30013112838,6482.18966141295,6489.85536598609,6479.63442655524,0.783904524967211,6487.85878149498,6486.29097244505,6488.64268601995,6485.50706792008,0,6486,0.5,0.5,2.25,0.711111111111111
2025-08-27T21:27:25.0000000,ES SEP25,6486.25,6486.25,6486,5,6486.25,6486.25,11,11,0,0,6484.74499709257,6487.07291276673,6484.74499709257,141004,2.55517230552118,6487.30016939809,6482.18982478705,6489.85534170361,6479.63465248153,0.784752281610989,6487.85766504834,6486.28816048512,6488.64241732995,6485.50340820351,0,6486.25,0.5,0.5,2.25,0.733333333333333
2025-08-27T21:27:30.0000000,ES SEP25,6486,6486.25,6486,5,6486,6486,53,43,0,0,6484.74509199119,6487.07110507244,6484.74509199119,141057,2.5551065646608,6487.30019855585,6482.18998542653,6489.85530512051,6479.63487886187,0.785536081096712,6487.85664115354,6486.28556899135,6488.64217723464,6485.50003291025,0,6486,0.5,0.5,2.25,0.711111111111111
2025-08-27T21:27:35.0000000,ES SEP25,6486,6486,6486,45,6486,6486,52,40,0,0,6484.74589232652,6487.0620198265,6484.74589232652,141109,2.55448812325023,6487.30038044977,6482.19140420327,6489.85486857302,6479.63691608002,0.788319842525225,6487.85033966902,6486.27369998397,6488.63865951155,6485.48538014145,0,6486,0.5,0.5,2.25,0.711111111111111
2025-08-27T21:27:40.0000000,ES SEP25,6485.75,6485.75,6485.75,7,6485.75,6485.75,9,7,0,0,6484.74599193191,6487.0600588053,6484.74599193191,141118,2.55438099489426,6487.3003729268,6482.19161093701,6489.8547539217,6479.63722994212,0.789258620939759,6487.84931742624,6486.27080018436,6488.63857604718,6485.48154156342,0,6485.75,0.5,0.5,2.25,0.688888888888889
